y,x0,x1,x2,x3,x4,x5,x6,x7
3.64,2690.0,2.0,A0,3.0,2690,,23,-1
1.77,1370.0,1.0,A0,3.0,1370,1420.0,18,-1
2.85,1720.0,1.0,A0,3.0,1720,,62,-1
3.675,2800.0,1.0,A0,3.0,1400,,47,-1
6.58,2880.0,2.0,A0,3.0,2880,,10,-1
8.625,3130.0,1.0,A0,3.0,2530,3680.0,59,-1
7.9,3190.0,2.0,A0,3.0,3190,,1,-1
1.62,960.0,1.0,A0,3.0,960,,53,-1
4.92,2630.0,1.0,A0,4.0,1430,,67,-1
0.4575,1140.0,1.0,A0,4.0,1140,,46,-1
1.75,1480.0,1.0,A0,4.0,1480,1830.0,35,-1
3.65,2340.0,1.0,A0,3.0,1720,,48,-1
5.121,1670.0,1.0,A0,4.0,1670,,54,-1
1.9,1290.0,1.0,A0,3.0,1050,,65,-1
1.9,1420.0,1.0,A0,3.0,1420,,61,-1
1.72,1270.0,1.5,A0,3.0,1270,,99,2
1.55,1470.0,1.5,A0,3.0,1470,,83,-1
5.34,3990.0,2.0,,3.0,2930,,8,-1
10.9,2670.0,2.0,A0,5.0,2000,2320.0,73,20
5.05,1740.0,3.0,A0,,1740,1740.0,7,-1
11.75,3700.0,1.0,,3.0,2620,,27,-1
4.51,1550.0,1.5,A0,4.0,1550,1180.0,115,-1
1.23,1430.0,1.0,A0,,820,,35,-1
6.4995,3010.0,2.0,A0,3.0,3010,,11,-1
1.83,1620.0,1.0,A0,3.0,1310,,27,-1
2.95,2490.0,2.0,A0,3.0,2490,2490.0,10,-1
6.9,1220.0,1.0,A0,4.0,1220,,61,-1
1.74,2120.0,1.0,A0,3.0,1380,,54,-1
1.85,1440.0,1.0,A0,3.0,1090,,57,-1
1.82,1450.0,1.5,A0,5.0,1450,,105,-1
2.9,2200.0,2.0,A0,3.0,2200,,28,-1
2.58,720.0,1.0,A0,3.0,720,,73,-1
5.24995,1620.0,1.5,A0,5.0,1620,,87,-1
11.15,2080.0,1.0,A1,4.0,1040,,76,31
3.32,1700.0,2.0,A0,4.0,1700,1700.0,39,-1
2.15,2090.0,1.0,A0,3.0,1360,2040.0,48,-1
1.5,1410.0,1.5,A0,3.0,1410,,52,-1
3.85,1870.0,1.0,A0,3.0,1470,1340.0,79,-1
5.3,2100.0,1.0,A0,,1340,,74,-1
6.725,2350.0,2.0,A0,4.0,2350,,38,-1
1.849,1690.0,1.0,A0,3.0,1690,,29,-1
3.75,1100.0,1.0,A0,3.0,1100,,98,-1
1.58,1250.0,1.5,A0,3.0,1250,,60,-1
1.95,2140.0,1.0,A0,4.0,1330,2050.0,48,-1
1.13,1140.0,1.0,A0,4.0,1140,1600.0,51,-1
4.4,1910.0,1.0,A0,4.0,1160,,45,-1
4.0495,2570.0,2.0,A0,,2570,,49,-1
1.7,1740.0,1.0,A0,,1740,,61,-1
3.0477,1470.0,2.0,A0,3.0,1160,,10,-1
5.485,1550.0,1.0,,3.0,860,,97,1
11.85,2700.0,1.5,A0,,1660,,105,7
1.2,1180.0,2.0,A0,3.0,1180,,10,-1
10.55,3180.0,2.0,A0,,2070,2720.0,90,-1
1.15,720.0,1.0,A0,3.0,720,,101,-1
1.8635,1390.0,1.0,A0,4.0,1390,1810.0,53,-1
2.5,1960.0,2.0,A0,3.0,1960,,11,-1
8.14,3210.0,3.0,A0,3.0,3210,,1,-1
2.9,680.0,1.0,A0,,680,1610.0,98,-1
4.75,2750.0,1.0,A0,2.0,1500,,57,-1
3.55,1460.0,1.0,A0,3.0,1210,,68,-1
2.51,1880.0,1.0,A0,4.0,1880,,49,-1
2.7,1030.0,2.0,A0,3.0,765,,9,-1
5.75,1900.0,1.0,A0,4.0,1180,,61,-1
3.55,2150.0,1.0,A0,3.0,1200,1480.0,59,-1
3.7,1310.0,2.0,A0,3.0,1120,1310.0,13,-1
1.4,1900.0,1.0,A0,4.0,1900,2040.0,48,-1
2.925,1270.0,1.0,A0,5.0,1270,,46,-1
0.95,1920.0,1.0,A0,4.0,1220,,49,-1
3.22,1640.0,1.0,A0,5.0,1640,1640.0,48,-1
3.4995,3266.0,2.0,A0,3.0,3266,,1,-1
3.0,2100.0,1.0,A0,5.0,2100,,45,-1
2.649,1200.0,1.0,A0,5.0,1200,,46,-1
4.72,2200.0,1.5,A0,5.0,1420,1300.0,99,-1
2.85,1930.0,1.0,A0,3.0,1260,,57,-1
2.049,2240.0,2.0,A0,3.0,1540,1800.0,26,-1
7.65,3420.0,2.0,A0,3.0,3420,,15,-1
2.25,2340.0,1.0,A0,3.0,1470,,37,-1
13.65,2410.0,1.5,A0,,2410,,104,-1
3.2,2750.0,2.0,A0,3.0,2750,,3,-1
0.72,1480.0,1.0,A0,4.0,1100,,51,-1
4.615,1360.0,1.0,A0,4.0,680,,90,-1
5.25,4690.0,2.0,A0,3.0,3680,,20,-1
5.08,2200.0,1.0,A0,5.0,1100,,60,-1
3.55,1610.0,1.0,A0,4.0,1310,,55,-1
1.509,1510.0,1.0,A0,4.0,1010,,52,-1
0.87,1810.0,1.0,A0,3.0,1280,,37,-1
7.0,3180.0,2.0,A0,3.0,3180,,27,-1
15.65,4780.0,2.0,A0,3.0,4780,,21,-1
3.15,2480.0,2.0,A0,3.0,2480,2510.0,25,-1
2.75,1370.0,1.5,A0,3.0,1370,,66,-1
2.045,1613.0,2.0,A0,3.0,1613,,6,-1
2.6,2020.0,1.0,A0,3.0,1010,2020.0,36,-1
4.4125,2390.0,1.5,A0,4.0,2390,,90,-1
5.05,1900.0,1.5,A0,3.0,1200,,110,-1
1.34,840.0,1.0,A0,5.0,840,,46,-1
4.74,1290.0,2.0,A0,4.0,1290,,109,-1
4.7,2660.0,2.0,A0,3.0,2660,,23,-1
3.645,1360.0,1.5,A0,3.0,1360,1530.0,65,-1
2.7,1620.0,2.0,A0,3.0,1620,,14,-1
2.68,1110.0,1.0,A0,5.0,700,,73,-1
1.95,1990.0,1.0,A0,3.0,1270,,16,-1
4.87,2795.0,2.0,A0,3.0,2795,,19,-1
3.55,1320.0,3.0,A0,,1320,,14,-1
2.65,1450.0,2.0,A0,3.0,1450,1500.0,65,-1
6.75,2400.0,2.0,A0,3.0,2400,,14,-1
8.15,3050.0,2.0,A0,3.0,3050,,24,-1
2.2,1810.0,1.0,A0,,1810,,24,-1
4.25,930.0,1.0,A0,,930,,106,-1
2.3,1000.0,1.5,A0,4.0,1000,,68,-1
4.2,2980.0,1.0,A0,3.0,1910,2240.0,8,-1
3.26,1400.0,1.0,A0,3.0,1400,,66,-1
4.0,1550.0,1.5,A0,4.0,1550,,89,-1
5.2,1990.0,2.0,A0,3.0,1680,,10,-1
3.705,1880.0,1.0,A0,4.0,940,,74,-1
1.65,870.0,1.0,A0,3.0,870,1500.0,68,-1
14.695,4910.0,1.0,A0,4.0,2560,3980.0,51,-1
3.85,1910.0,1.0,A0,4.0,1010,,52,-1
3.4,1500.0,2.0,A0,5.0,1300,1360.0,89,-1
4.15,2800.0,1.0,A0,3.0,1680,,38,-1
3.876,1430.0,1.0,A0,4.0,1430,,51,-1
4.25,1760.0,2.0,A0,3.0,1760,,27,-1
5.5,1860.0,2.0,A0,3.0,1860,,22,-1
1.85,1360.0,1.0,A0,4.0,1360,1321.0,49,-1
3.95,1510.0,1.0,A0,4.0,1510,,59,-1
6.0,2820.0,2.0,A0,3.0,2820,,36,-1
